"",symbol,date,ILLIQ,yang_zhang_sigma,stock_sigma_mean,ILLIQ_P,yang_zhang_sigma_P,stock_sigma_mean_P
285,000985.CSI,2021-01-04,11.050464,0.007718,0.026864,20.0,10.0,40.0
286,000985.CSI,2021-01-05,11.126426,0.007908,0.027177,30.0,10.0,40.0
287,000985.CSI,2021-01-06,11.114512,0.008266,0.027626,30.0,10.0,40.0
288,000985.CSI,2021-01-07,10.222296,0.008335,0.028132,10.0,10.0,50.0
289,000985.CSI,2021-01-08,10.319094,0.008487,0.028901,20.0,20.0,50.0
290,000985.CSI,2021-01-11,10.051444,0.008471,0.029213,10.0,20.0,50.0
291,000985.CSI,2021-01-12,10.401953,0.008589,0.029378,20.0,20.0,50.0
292,000985.CSI,2021-01-13,10.514534,0.008887,0.029786,20.0,20.0,50.0
293,000985.CSI,2021-01-14,10.976365,0.009069,0.030255,20.0,20.0,60.0
294,000985.CSI,2021-01-15,10.245625,0.009241,0.030260,20.0,20.0,60.0
295,000985.CSI,2021-01-18,10.737522,0.009408,0.030548,20.0,30.0,60.0
296,000985.CSI,2021-01-19,10.457393,0.009486,0.030779,20.0,30.0,60.0
297,000985.CSI,2021-01-20,9.904035,0.009268,0.030755,10.0,20.0,60.0
298,000985.CSI,2021-01-21,10.098518,0.009373,0.030813,10.0,20.0,60.0
299,000985.CSI,2021-01-22,9.555174,0.009385,0.030801,0.0,20.0,60.0
300,000985.CSI,2021-01-25,9.043276,0.009563,0.030928,0.0,30.0,60.0
301,000985.CSI,2021-01-26,10.017925,0.009683,0.031060,10.0,30.0,60.0
302,000985.CSI,2021-01-27,9.827519,0.009894,0.031016,10.0,30.0,60.0
303,000985.CSI,2021-01-28,10.425560,0.010557,0.031367,20.0,40.0,70.0
304,000985.CSI,2021-01-29,9.926431,0.011438,0.031879,10.0,50.0,70.0
305,000985.CSI,2021-02-01,9.775605,0.011248,0.032282,10.0,50.0,70.0
306,000985.CSI,2021-02-02,10.053937,0.011289,0.032310,10.0,50.0,70.0
307,000985.CSI,2021-02-03,10.320644,0.011080,0.032273,20.0,50.0,70.0
308,000985.CSI,2021-02-04,10.564881,0.011364,0.032356,30.0,50.0,70.0
309,000985.CSI,2021-02-05,10.783832,0.011359,0.032176,30.0,50.0,70.0
310,000985.CSI,2021-02-08,11.075805,0.011221,0.032026,30.0,50.0,70.0
311,000985.CSI,2021-02-09,11.420603,0.011247,0.031912,40.0,50.0,70.0
312,000985.CSI,2021-02-10,12.114638,0.011145,0.031589,50.0,50.0,70.0
313,000985.CSI,2021-02-18,11.584904,0.012079,0.031648,40.0,60.0,70.0
314,000985.CSI,2021-02-19,11.944178,0.012195,0.031655,50.0,70.0,70.0
315,000985.CSI,2021-02-22,12.001444,0.012237,0.031976,50.0,70.0,70.0
316,000985.CSI,2021-02-23,11.665452,0.012508,0.032003,40.0,70.0,70.0
317,000985.CSI,2021-02-24,12.135743,0.013172,0.032090,50.0,70.0,70.0
318,000985.CSI,2021-02-25,11.480672,0.013229,0.032123,40.0,70.0,70.0
319,000985.CSI,2021-02-26,12.637212,0.014245,0.032407,60.0,70.0,80.0
320,000985.CSI,2021-03-01,13.675597,0.014294,0.032116,70.0,70.0,70.0
321,000985.CSI,2021-03-02,13.272745,0.014529,0.031878,70.0,70.0,70.0
322,000985.CSI,2021-03-03,14.163566,0.014462,0.031649,70.0,70.0,70.0
323,000985.CSI,2021-03-04,14.171119,0.014316,0.031305,70.0,70.0,70.0
324,000985.CSI,2021-03-05,13.720675,0.014286,0.030946,70.0,70.0,60.0
325,000985.CSI,2021-03-08,14.710841,0.014905,0.030677,80.0,80.0,60.0
326,000985.CSI,2021-03-09,15.215392,0.015501,0.031305,80.0,80.0,70.0
327,000985.CSI,2021-03-10,14.927707,0.015798,0.031335,80.0,80.0,70.0
328,000985.CSI,2021-03-11,16.114062,0.015622,0.030914,80.0,80.0,60.0
329,000985.CSI,2021-03-12,15.976241,0.015675,0.030504,80.0,80.0,60.0
330,000985.CSI,2021-03-15,16.147832,0.015810,0.030305,80.0,80.0,60.0
331,000985.CSI,2021-03-16,15.389825,0.015769,0.030172,80.0,80.0,60.0
332,000985.CSI,2021-03-17,14.800296,0.015856,0.030148,80.0,80.0,50.0
333,000985.CSI,2021-03-18,15.182725,0.015112,0.029707,80.0,80.0,50.0
334,000985.CSI,2021-03-19,16.116747,0.015210,0.029675,90.0,80.0,50.0
335,000985.CSI,2021-03-22,16.230238,0.015086,0.029110,90.0,80.0,50.0
336,000985.CSI,2021-03-23,16.775488,0.014952,0.028986,90.0,80.0,50.0
337,000985.CSI,2021-03-24,16.859405,0.014558,0.028957,90.0,80.0,50.0
338,000985.CSI,2021-03-25,16.846785,0.014436,0.028938,90.0,70.0,50.0
339,000985.CSI,2021-03-26,17.174062,0.013603,0.028468,90.0,70.0,40.0
340,000985.CSI,2021-03-29,16.149761,0.013471,0.028429,90.0,70.0,40.0
341,000985.CSI,2021-03-30,15.928594,0.013150,0.028432,80.0,70.0,40.0
342,000985.CSI,2021-03-31,15.329480,0.013116,0.028550,80.0,70.0,50.0
343,000985.CSI,2021-04-01,14.744889,0.012801,0.028474,80.0,70.0,50.0
344,000985.CSI,2021-04-02,15.231068,0.012122,0.028226,80.0,60.0,40.0
345,000985.CSI,2021-04-06,13.695006,0.011316,0.027821,70.0,60.0,40.0
346,000985.CSI,2021-04-07,12.654768,0.010389,0.026738,60.0,40.0,30.0
347,000985.CSI,2021-04-08,12.594541,0.009913,0.026402,60.0,40.0,20.0
348,000985.CSI,2021-04-09,11.705471,0.009719,0.026134,40.0,30.0,20.0
349,000985.CSI,2021-04-12,12.721756,0.009719,0.026168,60.0,30.0,20.0
350,000985.CSI,2021-04-13,11.886569,0.009346,0.026129,50.0,20.0,20.0
351,000985.CSI,2021-04-14,12.160002,0.009130,0.026151,50.0,20.0,20.0
352,000985.CSI,2021-04-15,12.181599,0.008989,0.026208,50.0,20.0,20.0
353,000985.CSI,2021-04-16,12.271572,0.009069,0.026275,60.0,20.0,20.0
354,000985.CSI,2021-04-19,12.278870,0.008630,0.026083,60.0,20.0,20.0
355,000985.CSI,2021-04-20,11.471476,0.008742,0.026090,40.0,20.0,20.0
356,000985.CSI,2021-04-21,10.790721,0.008559,0.025875,30.0,10.0,20.0
357,000985.CSI,2021-04-22,9.794390,0.008204,0.025594,10.0,10.0,20.0
358,000985.CSI,2021-04-23,10.091135,0.007980,0.025353,20.0,10.0,20.0
359,000985.CSI,2021-04-26,9.124485,0.008143,0.025583,0.0,10.0,20.0
360,000985.CSI,2021-04-27,9.019923,0.008112,0.025731,0.0,10.0,20.0
361,000985.CSI,2021-04-28,9.071114,0.008088,0.025787,0.0,10.0,20.0
362,000985.CSI,2021-04-29,8.927936,0.007967,0.025820,0.0,10.0,20.0
363,000985.CSI,2021-04-30,8.411291,0.008067,0.025997,0.0,10.0,20.0
364,000985.CSI,2021-05-06,8.267950,0.008269,0.026176,0.0,10.0,30.0
365,000985.CSI,2021-05-07,8.957516,0.008384,0.026293,0.0,20.0,30.0
366,000985.CSI,2021-05-10,8.817694,0.008271,0.026433,0.0,10.0,30.0
367,000985.CSI,2021-05-11,9.035847,0.008666,0.026627,10.0,20.0,40.0
368,000985.CSI,2021-05-12,8.786719,0.008643,0.026692,0.0,20.0,40.0
369,000985.CSI,2021-05-13,8.209586,0.008602,0.026669,0.0,20.0,40.0
370,000985.CSI,2021-05-14,9.128105,0.008744,0.026622,10.0,20.0,40.0
371,000985.CSI,2021-05-17,8.736336,0.008864,0.026756,0.0,20.0,40.0
372,000985.CSI,2021-05-18,8.463113,0.008703,0.026682,0.0,20.0,40.0
373,000985.CSI,2021-05-19,8.017451,0.008573,0.026587,0.0,20.0,40.0
374,000985.CSI,2021-05-20,6.693715,0.008308,0.026621,0.0,10.0,40.0
375,000985.CSI,2021-05-21,6.994501,0.008301,0.026565,0.0,10.0,40.0
376,000985.CSI,2021-05-24,7.256492,0.008292,0.026693,0.0,10.0,40.0
377,000985.CSI,2021-05-25,8.428126,0.008413,0.026723,0.0,20.0,40.0
378,000985.CSI,2021-05-26,8.197844,0.008393,0.026733,0.0,20.0,40.0
379,000985.CSI,2021-05-27,8.009258,0.008135,0.026449,0.0,10.0,40.0
380,000985.CSI,2021-05-28,8.081301,0.008130,0.026242,0.0,10.0,30.0
381,000985.CSI,2021-05-31,8.086321,0.008147,0.026073,0.0,10.0,20.0
382,000985.CSI,2021-06-01,7.942174,0.008333,0.026001,0.0,20.0,20.0
383,000985.CSI,2021-06-02,8.182920,0.008383,0.025847,0.0,20.0,20.0
384,000985.CSI,2021-06-03,8.069658,0.008251,0.025757,0.0,10.0,20.0
385,000985.CSI,2021-06-04,7.633823,0.008387,0.025666,0.0,20.0,20.0
386,000985.CSI,2021-06-07,7.638789,0.008320,0.025567,0.0,20.0,10.0
387,000985.CSI,2021-06-08,7.821811,0.008207,0.025410,0.0,10.0,10.0
388,000985.CSI,2021-06-09,7.402797,0.008182,0.025381,0.0,10.0,10.0
389,000985.CSI,2021-06-10,7.244101,0.007884,0.025196,0.0,0.0,10.0
390,000985.CSI,2021-06-11,6.462464,0.007584,0.025130,0.0,0.0,10.0
391,000985.CSI,2021-06-15,6.469879,0.007620,0.025207,0.0,0.0,10.0
392,000985.CSI,2021-06-16,7.377785,0.007734,0.025317,0.0,0.0,10.0
393,000985.CSI,2021-06-17,7.739528,0.007713,0.025430,0.0,0.0,10.0
394,000985.CSI,2021-06-18,7.965379,0.007706,0.025450,0.0,0.0,10.0
395,000985.CSI,2021-06-21,7.777574,0.007759,0.025569,0.0,0.0,10.0
396,000985.CSI,2021-06-22,7.768282,0.007702,0.025546,0.0,0.0,10.0
397,000985.CSI,2021-06-23,6.849440,0.007540,0.025611,0.0,0.0,20.0
398,000985.CSI,2021-06-24,6.907819,0.007582,0.025696,0.0,0.0,20.0
399,000985.CSI,2021-06-25,7.178392,0.007503,0.025829,0.0,0.0,20.0
400,000985.CSI,2021-06-28,7.324794,0.007359,0.025856,0.0,0.0,20.0
401,000985.CSI,2021-06-29,7.404293,0.007289,0.025893,0.0,0.0,20.0
402,000985.CSI,2021-06-30,7.748554,0.007040,0.025832,0.0,0.0,20.0
403,000985.CSI,2021-07-01,7.480347,0.006956,0.025995,0.0,0.0,20.0
404,000985.CSI,2021-07-02,8.280242,0.007032,0.026052,10.0,0.0,20.0
405,000985.CSI,2021-07-05,8.300548,0.006585,0.026134,10.0,0.0,20.0
406,000985.CSI,2021-07-06,8.274615,0.007049,0.026270,10.0,0.0,30.0
407,000985.CSI,2021-07-07,8.523933,0.007064,0.026278,10.0,0.0,30.0
408,000985.CSI,2021-07-08,8.690184,0.007106,0.026339,10.0,0.0,30.0
409,000985.CSI,2021-07-09,8.232566,0.007502,0.026493,10.0,0.0,40.0
410,000985.CSI,2021-07-12,8.499350,0.007912,0.026676,10.0,10.0,40.0
411,000985.CSI,2021-07-13,8.123171,0.007718,0.026559,10.0,10.0,40.0
412,000985.CSI,2021-07-14,7.549455,0.007619,0.026544,0.0,0.0,40.0
413,000985.CSI,2021-07-15,7.429688,0.007910,0.026798,0.0,10.0,50.0
414,000985.CSI,2021-07-16,7.570859,0.007913,0.026779,0.0,10.0,50.0
415,000985.CSI,2021-07-19,7.393504,0.007871,0.026916,0.0,10.0,50.0
416,000985.CSI,2021-07-20,7.137103,0.007967,0.026948,0.0,20.0,50.0
417,000985.CSI,2021-07-21,7.359209,0.007991,0.026972,0.0,20.0,50.0
418,000985.CSI,2021-07-22,7.381662,0.007967,0.027005,0.0,20.0,50.0
419,000985.CSI,2021-07-23,7.208119,0.007989,0.027193,0.0,20.0,50.0
420,000985.CSI,2021-07-26,7.858690,0.009511,0.027775,10.0,40.0,50.0
421,000985.CSI,2021-07-27,8.456507,0.010304,0.028427,20.0,60.0,50.0
422,000985.CSI,2021-07-28,8.239148,0.011341,0.029589,10.0,60.0,60.0
423,000985.CSI,2021-07-29,9.027635,0.012118,0.029668,30.0,70.0,60.0
424,000985.CSI,2021-07-30,8.034928,0.012162,0.029937,10.0,80.0,70.0
425,000985.CSI,2021-08-02,8.482805,0.012447,0.030512,20.0,80.0,70.0
426,000985.CSI,2021-08-03,8.579469,0.012278,0.030782,20.0,80.0,80.0
427,000985.CSI,2021-08-04,8.520333,0.012112,0.030886,20.0,70.0,80.0
428,000985.CSI,2021-08-05,8.496798,0.012177,0.031012,20.0,80.0,80.0
429,000985.CSI,2021-08-06,8.552356,0.011970,0.031048,20.0,70.0,80.0
430,000985.CSI,2021-08-09,8.288187,0.011837,0.031191,20.0,70.0,80.0
431,000985.CSI,2021-08-10,8.494166,0.011898,0.031215,20.0,70.0,80.0
432,000985.CSI,2021-08-11,8.056079,0.011874,0.031167,10.0,70.0,80.0
433,000985.CSI,2021-08-12,7.815401,0.011732,0.030999,10.0,70.0,80.0
434,000985.CSI,2021-08-13,7.568662,0.011855,0.031004,0.0,70.0,80.0
435,000985.CSI,2021-08-16,7.735026,0.011815,0.031035,10.0,70.0,80.0
436,000985.CSI,2021-08-17,8.635702,0.012184,0.031321,30.0,80.0,90.0
437,000985.CSI,2021-08-18,8.572057,0.012190,0.031504,20.0,80.0,90.0
438,000985.CSI,2021-08-19,8.481892,0.012311,0.031619,20.0,80.0,90.0
439,000985.CSI,2021-08-20,8.587641,0.012650,0.031688,30.0,80.0,90.0
440,000985.CSI,2021-08-23,8.462467,0.011682,0.031360,20.0,70.0,90.0
441,000985.CSI,2021-08-24,7.736377,0.010970,0.030937,10.0,60.0,80.0
442,000985.CSI,2021-08-25,7.683097,0.009906,0.029918,10.0,50.0,70.0
443,000985.CSI,2021-08-26,7.171808,0.008938,0.029859,0.0,40.0,70.0
